Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
tryptophan--tRNA ligase [Thermoplasmatales archaeon],Thermoplasmatales archaeon,784,784,100%,0.0,100.00,382,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD6955104.1?report=genbank&log$=prottop&blast_rank=1&RID=0VF2G3E9016"",""MBD6955104.1"")"
TPA: tryptophan--tRNA ligase [Euryarchaeota archaeon],Euryarchaeota archaeon,609,609,77%,0.0,100.00,296,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEU13153.1?report=genbank&log$=prottop&blast_rank=2&RID=0VF2G3E9016"",""HEU13153.1"")"
tryptophan--tRNA ligase [Thermoplasmata archaeon],Thermoplasmata archaeon,683,683,100%,0.0,83.77,382,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCI4435007.1?report=genbank&log$=prottop&blast_rank=3&RID=0VF2G3E9016"",""MCI4435007.1"")"
tryptophan--tRNA ligase [Euryarchaeota archaeon],Euryarchaeota archaeon,682,682,100%,0.0,83.77,382,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MVT13236.1?report=genbank&log$=prottop&blast_rank=4&RID=0VF2G3E9016"",""MVT13236.1"")"
tryptophan--tRNA ligase [Desulfurococcales archaeon],Desulfurococcales archaeon,598,598,99%,0.0,73.68,381,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NAZ12838.1?report=genbank&log$=prottop&blast_rank=5&RID=0VF2G3E9016"",""NAZ12838.1"")"
tryptophan--tRNA ligase [Desulfurococcales archaeon],Desulfurococcales archaeon,597,597,99%,0.0,73.42,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCC6030387.1?report=genbank&log$=prottop&blast_rank=6&RID=0VF2G3E9016"",""MCC6030387.1"")"
tryptophan--tRNA ligase [Desulfurococcaceae archaeon],Desulfurococcaceae archaeon,595,595,99%,0.0,73.42,381,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCI4457118.1?report=genbank&log$=prottop&blast_rank=7&RID=0VF2G3E9016"",""MCI4457118.1"")"
tryptophan--tRNA ligase [Desulfurococcales archaeon],Desulfurococcales archaeon,595,595,99%,0.0,73.16,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCC6062086.1?report=genbank&log$=prottop&blast_rank=8&RID=0VF2G3E9016"",""MCC6062086.1"")"
tryptophan--tRNA ligase [Acidilobaceae archaeon],Acidilobaceae archaeon,558,558,97%,0.0,71.51,378,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCS7107670.1?report=genbank&log$=prottop&blast_rank=9&RID=0VF2G3E9016"",""MCS7107670.1"")"
tryptophan--tRNA ligase [Desulfurococcaceae archaeon AG1],Desulfurococcaceae archaeon AG1,571,571,97%,0.0,71.31,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GAY25461.1?report=genbank&log$=prottop&blast_rank=10&RID=0VF2G3E9016"",""GAY25461.1"")"
tryptophan--tRNA ligase [Nitrososphaerota archaeon],Nitrososphaerota archaeon,575,575,98%,0.0,71.24,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL7393460.1?report=genbank&log$=prottop&blast_rank=11&RID=0VF2G3E9016"",""MCL7393460.1"")"
tryptophan--tRNA ligase [Nitrososphaerota archaeon],Nitrososphaerota archaeon,575,575,98%,0.0,71.24,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCC6023336.1?report=genbank&log$=prottop&blast_rank=12&RID=0VF2G3E9016"",""MCC6023336.1"")"
tryptophan--tRNA ligase [Aigarchaeota archaeon],Aigarchaeota archaeon,573,573,98%,0.0,70.98,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCF3653847.1?report=genbank&log$=prottop&blast_rank=13&RID=0VF2G3E9016"",""MCF3653847.1"")"
tryptophan--tRNA ligase [Desulfurococcaceae archaeon],Desulfurococcaceae archaeon,573,573,97%,0.0,70.97,388,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCC6044631.1?report=genbank&log$=prottop&blast_rank=14&RID=0VF2G3E9016"",""MCC6044631.1"")"
tryptophan--tRNA ligase [Nitrososphaerota archaeon],Nitrososphaerota archaeon,550,550,98%,0.0,69.66,380,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6421057.1?report=genbank&log$=prottop&blast_rank=15&RID=0VF2G3E9016"",""MCD6421057.1"")"
tryptophan--tRNA ligase [Acidianus hospitalis],Acidianus hospitalis,569,569,98%,0.0,69.41,380,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_013775778.1?report=genbank&log$=prottop&blast_rank=16&RID=0VF2G3E9016"",""WP_013775778.1"")"
tryptophan--tRNA ligase [Acidianus ambivalens],Acidianus ambivalens,568,568,98%,0.0,69.41,380,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_155861196.1?report=genbank&log$=prottop&blast_rank=17&RID=0VF2G3E9016"",""WP_155861196.1"")"
tryptophanyl-tRNA synthetase [Candidatus Aramenus sulfurataquae],Candidatus Aramenus sulfurataquae,569,569,98%,0.0,69.39,382,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHM94088.1?report=genbank&log$=prottop&blast_rank=18&RID=0VF2G3E9016"",""AHM94088.1"")"
tryptophan--tRNA ligase [Candidatus Aramenus sp.],Candidatus Aramenus sp.,568,568,98%,0.0,69.39,382,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBW9141464.1?report=genbank&log$=prottop&blast_rank=19&RID=0VF2G3E9016"",""MBW9141464.1"")"
tryptophan--tRNA ligase [Candidatus Aramenus sp.],Candidatus Aramenus sp.,567,567,98%,0.0,69.39,382,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCI2414992.1?report=genbank&log$=prottop&blast_rank=20&RID=0VF2G3E9016"",""MCI2414992.1"")"
tryptophan--tRNA ligase [Sulfolobus sp. SCGC AB-777_G06],Sulfolobus sp. SCGC AB-777_G06,557,557,98%,0.0,69.21,381,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PVU75448.1?report=genbank&log$=prottop&blast_rank=21&RID=0VF2G3E9016"",""PVU75448.1"")"
tryptophan--tRNA ligase [Acidianus hospitalis],Acidianus hospitalis,568,568,98%,0.0,69.15,380,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PVU74912.1?report=genbank&log$=prottop&blast_rank=22&RID=0VF2G3E9016"",""PVU74912.1"")"
tryptophan--tRNA ligase [Acidianus infernus],Acidianus infernus,568,568,98%,0.0,69.15,380,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MUM64301.1?report=genbank&log$=prottop&blast_rank=23&RID=0VF2G3E9016"",""MUM64301.1"")"
tryptophan--tRNA ligase [Saccharolobus caldissimus],Saccharolobus caldissimus,569,569,98%,0.0,69.13,381,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_229571547.1?report=genbank&log$=prottop&blast_rank=24&RID=0VF2G3E9016"",""WP_229571547.1"")"
tryptophan--tRNA ligase [Sulfolobus sp. A20-N-F8],Sulfolobus sp. A20-N-F8,572,572,98%,0.0,69.05,380,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TRM78525.1?report=genbank&log$=prottop&blast_rank=25&RID=0VF2G3E9016"",""TRM78525.1"")"
tryptophan--tRNA ligase [unclassified Sulfolobus],unclassified Sulfolobus,572,572,98%,0.0,69.05,380,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_069282301.1?report=genbank&log$=prottop&blast_rank=26&RID=0VF2G3E9016"",""WP_069282301.1"")"
tryptophanyl-tRNA synthetase [Sulfolobus islandicus L.S.2.15],Sulfolobus islandicus L.S.2.15,557,557,98%,0.0,69.05,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACP35776.1?report=genbank&log$=prottop&blast_rank=27&RID=0VF2G3E9016"",""ACP35776.1"")"
tryptophan--tRNA ligase [Sulfolobus islandicus],Sulfolobus islandicus,556,556,98%,0.0,69.05,380,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_039698541.1?report=genbank&log$=prottop&blast_rank=28&RID=0VF2G3E9016"",""WP_039698541.1"")"
tryptophan--tRNA ligase [Acidianus sp. HS-5],Acidianus sp. HS-5,562,562,98%,0.0,68.88,380,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_236751575.1?report=genbank&log$=prottop&blast_rank=29&RID=0VF2G3E9016"",""WP_236751575.1"")"
tryptophan--tRNA ligase [Candidatus Methanodesulfokores washburnensis],Candidatus Methanodesulfokores washburnensis,558,558,98%,0.0,68.88,380,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_125671200.1?report=genbank&log$=prottop&blast_rank=30&RID=0VF2G3E9016"",""WP_125671200.1"")"
tryptophan--tRNA ligase [Sulfolobus sp. C3],Sulfolobus sp. C3,569,569,98%,0.0,68.78,380,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TRM89843.1?report=genbank&log$=prottop&blast_rank=31&RID=0VF2G3E9016"",""TRM89843.1"")"
