Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
AP endonuclease [Thermoplasmatales archaeon],Thermoplasmatales archaeon,682,682,100%,0.0,100.00,338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD6955083.1?report=genbank&log$=prottop&blast_rank=1&RID=0VF2G3E9016"",""MBD6955083.1"")"
TIM barrel protein [Thermoplasmata archaeon],Thermoplasmata archaeon,583,583,100%,0.0,83.43,338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCI4434252.1?report=genbank&log$=prottop&blast_rank=2&RID=0VF2G3E9016"",""MCI4434252.1"")"
TIM barrel protein [Euryarchaeota archaeon],Euryarchaeota archaeon,582,582,100%,0.0,83.14,338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MVT14696.1?report=genbank&log$=prottop&blast_rank=3&RID=0VF2G3E9016"",""MVT14696.1"")"
endonuclease IV [Aciduliprofundum sp. MAR08-339],Aciduliprofundum sp. MAR08-339,339,339,100%,5e-112,50.59,334,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AGB04286.1?report=genbank&log$=prottop&blast_rank=4&RID=0VF2G3E9016"",""AGB04286.1"")"
"AP endonuclease, family 2 [Aciduliprofundum boonei T469]",Aciduliprofundum boonei T469,340,340,100%,2e-112,49.70,337,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EDY36133.1?report=genbank&log$=prottop&blast_rank=5&RID=0VF2G3E9016"",""EDY36133.1"")"
TIM barrel protein [Aciduliprofundum boonei],Aciduliprofundum boonei,338,338,100%,1e-111,49.41,334,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_012997191.1?report=genbank&log$=prottop&blast_rank=6&RID=0VF2G3E9016"",""WP_012997191.1"")"
"AP endonuclease, family 2 [Aciduliprofundum boonei T469]",Aciduliprofundum boonei T469,338,338,100%,1e-111,49.41,337,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EDY36755.1?report=genbank&log$=prottop&blast_rank=7&RID=0VF2G3E9016"",""EDY36755.1"")"
TIM barrel protein [Thermoplasmata archaeon],Thermoplasmata archaeon,339,339,100%,7e-112,49.11,334,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6276494.1?report=genbank&log$=prottop&blast_rank=8&RID=0VF2G3E9016"",""MCD6276494.1"")"
AP endonuclease [Euryarchaeota archaeon ex4484_178],Euryarchaeota archaeon ex4484_178,333,333,100%,1e-109,49.11,335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OYT58634.1?report=genbank&log$=prottop&blast_rank=9&RID=0VF2G3E9016"",""OYT58634.1"")"
TIM barrel protein [Thermoplasmata archaeon],Thermoplasmata archaeon,324,324,100%,4e-106,48.22,334,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6369982.1?report=genbank&log$=prottop&blast_rank=10&RID=0VF2G3E9016"",""MCD6369982.1"")"
TIM barrel protein [Euryarchaeota archaeon],Euryarchaeota archaeon,331,331,100%,7e-109,47.93,333,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NPA75353.1?report=genbank&log$=prottop&blast_rank=11&RID=0VF2G3E9016"",""NPA75353.1"")"
AP endonuclease [Euryarchaeota archaeon ex4484_178],Euryarchaeota archaeon ex4484_178,311,311,96%,1e-100,47.55,351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OYT60295.1?report=genbank&log$=prottop&blast_rank=12&RID=0VF2G3E9016"",""OYT60295.1"")"
TIM barrel protein [Methanomassiliicoccales archaeon],Methanomassiliicoccales archaeon,270,270,100%,1e-84,43.57,363,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QLH75194.1?report=genbank&log$=prottop&blast_rank=13&RID=0VF2G3E9016"",""QLH75194.1"")"
endonuclease IV [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,276,276,100%,3e-87,43.07,340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL4437774.1?report=genbank&log$=prottop&blast_rank=14&RID=0VF2G3E9016"",""MCL4437774.1"")"
endonuclease IV [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,281,281,100%,2e-89,42.90,340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL5803036.1?report=genbank&log$=prottop&blast_rank=15&RID=0VF2G3E9016"",""MCL5803036.1"")"
