Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
30S ribosomal protein S6e [Thermoplasmatales archaeon],Thermoplasmatales archaeon,256,256,100%,6e-86,100.00,130,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD6955091.1?report=genbank&log$=prottop&blast_rank=1&RID=0VF2G3E9016"",""MBD6955091.1"")"
30S ribosomal protein S6e [Thermoplasmata archaeon],Thermoplasmata archaeon,238,238,100%,1e-78,90.00,130,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCI4434244.1?report=genbank&log$=prottop&blast_rank=2&RID=0VF2G3E9016"",""MCI4434244.1"")"
30S ribosomal protein S6e [Euryarchaeota archaeon],Euryarchaeota archaeon,162,162,94%,2e-48,66.67,133,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6503201.1?report=genbank&log$=prottop&blast_rank=3&RID=0VF2G3E9016"",""MCD6503201.1"")"
TPA: 30S ribosomal protein S6e [Euryarchaeota archaeon],Euryarchaeota archaeon,158,158,94%,5e-47,63.41,132,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HHC18933.1?report=genbank&log$=prottop&blast_rank=4&RID=0VF2G3E9016"",""HHC18933.1"")"
30S ribosomal protein S6e [Deltaproteobacteria bacterium],Deltaproteobacteria bacterium,157,157,94%,1e-46,62.60,132,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6137774.1?report=genbank&log$=prottop&blast_rank=5&RID=0VF2G3E9016"",""MCD6137774.1"")"
30S ribosomal protein S6e [Candidatus Bathyarchaeota archaeon],Candidatus Bathyarchaeota archaeon,144,144,87%,4e-41,62.28,154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RLI18711.1?report=genbank&log$=prottop&blast_rank=6&RID=0VF2G3E9016"",""RLI18711.1"")"
TPA: 30S ribosomal protein S6e [Methanothermococcus okinawensis],Methanothermococcus okinawensis,142,142,93%,7e-41,61.48,123,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HIQ39511.1?report=genbank&log$=prottop&blast_rank=7&RID=0VF2G3E9016"",""HIQ39511.1"")"
30S ribosomal protein S6e [Euryarchaeota archaeon],Euryarchaeota archaeon,158,158,100%,6e-47,60.77,129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NPA76025.1?report=genbank&log$=prottop&blast_rank=8&RID=0VF2G3E9016"",""NPA76025.1"")"
30S ribosomal protein S6e [Candidatus Bathyarchaeota archaeon],Candidatus Bathyarchaeota archaeon,143,143,87%,1e-40,60.53,156,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6240190.1?report=genbank&log$=prottop&blast_rank=9&RID=0VF2G3E9016"",""MCD6240190.1"")"
30S ribosomal protein S6e [Methanothermococcus sp. SCGC AD-155-E23],Methanothermococcus sp. SCGC AD-155-E23,140,140,93%,5e-40,59.84,123,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBW9223686.1?report=genbank&log$=prottop&blast_rank=10&RID=0VF2G3E9016"",""MBW9223686.1"")"
TPA: 30S ribosomal protein S6e [Candidatus Bathyarchaeota archaeon],Candidatus Bathyarchaeota archaeon,140,140,87%,9e-40,59.65,152,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDI12472.1?report=genbank&log$=prottop&blast_rank=11&RID=0VF2G3E9016"",""HDI12472.1"")"
30S ribosomal protein S6e [Thermoplasmata archaeon],Thermoplasmata archaeon,150,150,96%,6e-44,59.52,129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6371080.1?report=genbank&log$=prottop&blast_rank=12&RID=0VF2G3E9016"",""MCD6371080.1"")"
30S ribosomal protein S6e [Candidatus Bathyarchaeota archaeon],Candidatus Bathyarchaeota archaeon,139,139,86%,5e-39,59.29,145,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6242956.1?report=genbank&log$=prottop&blast_rank=13&RID=0VF2G3E9016"",""MCD6242956.1"")"
30S ribosomal protein S6e [Candidatus Bathyarchaeota archaeon],Candidatus Bathyarchaeota archaeon,138,138,86%,8e-39,59.29,145,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RLG99657.1?report=genbank&log$=prottop&blast_rank=14&RID=0VF2G3E9016"",""RLG99657.1"")"
