Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
hypothetical protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,143,143,84%,1e-42,100.00,71,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD6955082.1?report=genbank&log$=prottop&blast_rank=1&RID=0VF2G3E9016"",""MBD6955082.1"")"
hypothetical protein [Thermoplasmata archaeon],Thermoplasmata archaeon,111,111,84%,8e-30,70.42,71,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCI4434253.1?report=genbank&log$=prottop&blast_rank=2&RID=0VF2G3E9016"",""MCI4434253.1"")"
hypothetical protein [Euryarchaeota archaeon],Euryarchaeota archaeon,109,109,84%,3e-29,69.01,71,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MVT14695.1?report=genbank&log$=prottop&blast_rank=3&RID=0VF2G3E9016"",""MVT14695.1"")"
hypothetical protein [Aciduliprofundum boonei],Aciduliprofundum boonei,52.8,52.8,82%,1e-06,48.57,71,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_008084404.1?report=genbank&log$=prottop&blast_rank=4&RID=0VF2G3E9016"",""WP_008084404.1"")"



		


