Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
hypothetical protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,287,287,89%,4e-97,100.00,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD6955092.1?report=genbank&log$=prottop&blast_rank=1&RID=0VF2G3E9016"",""MBD6955092.1"")"
hypothetical protein C0180_06730 [Aciduliprofundum sp.],Aciduliprofundum sp.,317,317,100%,2e-108,98.80,179,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PMP73437.1?report=genbank&log$=prottop&blast_rank=2&RID=0VF2G3E9016"",""PMP73437.1"")"
hypothetical protein [Euryarchaeota archaeon],Euryarchaeota archaeon,195,195,87%,1e-60,67.81,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MVT13224.1?report=genbank&log$=prottop&blast_rank=3&RID=0VF2G3E9016"",""MVT13224.1"")"
hypothetical protein [Thermoplasmata archaeon],Thermoplasmata archaeon,193,193,87%,6e-60,67.12,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCI4434243.1?report=genbank&log$=prottop&blast_rank=4&RID=0VF2G3E9016"",""MCI4434243.1"")"



		


