Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
hypothetical protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,390,390,100%,1e-136,100.00,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD6955089.1?report=genbank&log$=prottop&blast_rank=1&RID=0VF2G3E9016"",""MBD6955089.1"")"
hypothetical protein [Thermoplasmata archaeon],Thermoplasmata archaeon,348,348,100%,5e-120,87.05,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCI4434246.1?report=genbank&log$=prottop&blast_rank=2&RID=0VF2G3E9016"",""MCI4434246.1"")"
hypothetical protein [Thermoplasmata archaeon],Thermoplasmata archaeon,249,249,96%,4e-81,60.22,196,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCI4435003.1?report=genbank&log$=prottop&blast_rank=3&RID=0VF2G3E9016"",""MCI4435003.1"")"
hypothetical protein AciM339_0272 [Aciduliprofundum sp. MAR08-339],Aciduliprofundum sp. MAR08-339,179,179,98%,4e-53,48.19,195,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AGB04169.1?report=genbank&log$=prottop&blast_rank=4&RID=0VF2G3E9016"",""AGB04169.1"")"
hypothetical protein DRN00_02360 [Thermoplasmata archaeon],Thermoplasmata archaeon,125,125,75%,6e-32,48.05,198,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RLF39259.1?report=genbank&log$=prottop&blast_rank=5&RID=0VF2G3E9016"",""RLF39259.1"")"
hypothetical protein [Thermoplasmata archaeon],Thermoplasmata archaeon,117,117,70%,4e-29,47.55,182,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6410982.1?report=genbank&log$=prottop&blast_rank=6&RID=0VF2G3E9016"",""MCD6410982.1"")"
hypothetical protein [Aciduliprofundum boonei],Aciduliprofundum boonei,171,171,95%,2e-50,46.77,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_236614072.1?report=genbank&log$=prottop&blast_rank=7&RID=0VF2G3E9016"",""WP_236614072.1"")"
conserved hypothetical protein [Aciduliprofundum boonei T469],Aciduliprofundum boonei T469,172,172,98%,1e-50,45.60,194,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ADD08613.1?report=genbank&log$=prottop&blast_rank=8&RID=0VF2G3E9016"",""ADD08613.1"")"
hypothetical protein [Thermoplasmata archaeon],Thermoplasmata archaeon,167,167,100%,2e-48,45.41,195,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6275533.1?report=genbank&log$=prottop&blast_rank=9&RID=0VF2G3E9016"",""MCD6275533.1"")"
TPA: hypothetical protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,134,134,96%,2e-35,44.95,198,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEB37405.1?report=genbank&log$=prottop&blast_rank=10&RID=0VF2G3E9016"",""HEB37405.1"")"
hypothetical protein [Thermoplasmata archaeon],Thermoplasmata archaeon,127,127,95%,1e-32,44.62,202,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6108653.1?report=genbank&log$=prottop&blast_rank=11&RID=0VF2G3E9016"",""MCD6108653.1"")"
hypothetical protein DRJ99_01505 [Thermoplasmata archaeon],Thermoplasmata archaeon,127,127,95%,1e-32,44.62,202,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RLF30782.1?report=genbank&log$=prottop&blast_rank=12&RID=0VF2G3E9016"",""RLF30782.1"")"
hypothetical protein B6U70_00130 [Euryarchaeota archaeon ex4484_162],Euryarchaeota archaeon ex4484_162,125,125,95%,6e-32,44.10,202,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OYT58559.1?report=genbank&log$=prottop&blast_rank=13&RID=0VF2G3E9016"",""OYT58559.1"")"
hypothetical protein [Thermoplasmata archaeon],Thermoplasmata archaeon,131,131,95%,3e-34,43.88,210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6572035.1?report=genbank&log$=prottop&blast_rank=14&RID=0VF2G3E9016"",""MCD6572035.1"")"
