Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
TIGR00296 family protein [Aciduliprofundum sp.],Aciduliprofundum sp.,405,405,100%,3e-142,100.00,201,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PMP73449.1?report=genbank&log$=prottop&blast_rank=1&RID=0VF2G3E9016"",""PMP73449.1"")"
TIGR00296 family protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,404,404,100%,8e-142,99.50,201,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD6955086.1?report=genbank&log$=prottop&blast_rank=2&RID=0VF2G3E9016"",""MBD6955086.1"")"
TIGR00296 family protein [Euryarchaeota archaeon],Euryarchaeota archaeon,334,334,98%,2e-114,78.79,202,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MVT13218.1?report=genbank&log$=prottop&blast_rank=3&RID=0VF2G3E9016"",""MVT13218.1"")"
TIGR00296 family protein [Thermoplasmata archaeon],Thermoplasmata archaeon,334,334,98%,4e-114,78.79,202,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCI4434249.1?report=genbank&log$=prottop&blast_rank=4&RID=0VF2G3E9016"",""MCI4434249.1"")"
TIGR00296 family protein [Euryarchaeota archaeon],Euryarchaeota archaeon,331,331,98%,5e-113,78.28,202,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MVT14699.1?report=genbank&log$=prottop&blast_rank=5&RID=0VF2G3E9016"",""MVT14699.1"")"
RecName: Full=Protein Ta0236 [Thermoplasma acidophilum DSM 1728],Thermoplasma acidophilum DSM 1728,209,209,94%,5e-65,57.14,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9HLJ2.1?report=genbank&log$=prottop&blast_rank=6&RID=0VF2G3E9016"",""Q9HLJ2.1"")"
TIGR00296 family protein [Thermoplasma acidophilum],Thermoplasma acidophilum,209,209,94%,5e-65,57.14,199,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_241761867.1?report=genbank&log$=prottop&blast_rank=7&RID=0VF2G3E9016"",""WP_241761867.1"")"
TIGR00296 family protein [Thermoplasma sp.],Thermoplasma sp.,209,209,94%,9e-65,56.61,201,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAA8922116.1?report=genbank&log$=prottop&blast_rank=8&RID=0VF2G3E9016"",""KAA8922116.1"")"
TIGR00296 family protein [Candidatus Bathyarchaeota archaeon],Candidatus Bathyarchaeota archaeon,217,217,97%,9e-68,56.50,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBC7130422.1?report=genbank&log$=prottop&blast_rank=9&RID=0VF2G3E9016"",""MBC7130422.1"")"
TIGR00296 family protein [archaeon],archaeon,206,206,95%,2e-63,55.38,203,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCP8309042.1?report=genbank&log$=prottop&blast_rank=10&RID=0VF2G3E9016"",""MCP8309042.1"")"
