Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
UPF0179 family protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,292,292,98%,1e-99,100.00,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD6955100.1?report=genbank&log$=prottop&blast_rank=1&RID=0VF2G3E9016"",""MBD6955100.1"")"
UPF0179 family protein [Thermoplasmata archaeon],Thermoplasmata archaeon,221,221,93%,9e-72,78.20,133,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCI4435011.1?report=genbank&log$=prottop&blast_rank=2&RID=0VF2G3E9016"",""MCI4435011.1"")"
conserved hypothetical protein [Aciduliprofundum boonei T469],Aciduliprofundum boonei T469,160,160,98%,1e-47,54.61,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EDY36248.1?report=genbank&log$=prottop&blast_rank=3&RID=0VF2G3E9016"",""EDY36248.1"")"
UPF0179 family protein [Aciduliprofundum boonei],Aciduliprofundum boonei,160,160,98%,2e-47,54.61,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_008082551.1?report=genbank&log$=prottop&blast_rank=4&RID=0VF2G3E9016"",""WP_008082551.1"")"
hypothetical protein AciM339_0509 [Aciduliprofundum sp. MAR08-339],Aciduliprofundum sp. MAR08-339,158,158,98%,1e-46,53.19,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AGB04396.1?report=genbank&log$=prottop&blast_rank=5&RID=0VF2G3E9016"",""AGB04396.1"")"
UPF0179 family protein [Thermoplasmata archaeon],Thermoplasmata archaeon,146,146,98%,8e-42,51.77,140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6275855.1?report=genbank&log$=prottop&blast_rank=6&RID=0VF2G3E9016"",""MCD6275855.1"")"
hypothetical protein B6U71_00955 [Euryarchaeota archaeon ex4484_178],Euryarchaeota archaeon ex4484_178,145,145,98%,1e-41,51.06,140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OYT60348.1?report=genbank&log$=prottop&blast_rank=7&RID=0VF2G3E9016"",""OYT60348.1"")"
TPA: UPF0179 family protein [Aciduliprofundum boonei],Aciduliprofundum boonei,145,145,98%,2e-41,50.70,142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HHE75586.1?report=genbank&log$=prottop&blast_rank=8&RID=0VF2G3E9016"",""HHE75586.1"")"
UPF0179 family protein [Thermoplasmata archaeon],Thermoplasmata archaeon,142,142,98%,2e-40,50.00,142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6370280.1?report=genbank&log$=prottop&blast_rank=9&RID=0VF2G3E9016"",""MCD6370280.1"")"
TPA: UPF0179 family protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,140,140,98%,1e-39,48.94,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDM67133.1?report=genbank&log$=prottop&blast_rank=10&RID=0VF2G3E9016"",""HDM67133.1"")"
