Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
SIS domain-containing protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,361,361,100%,7e-126,100.00,178,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD6955084.1?report=genbank&log$=prottop&blast_rank=1&RID=0VF2G3E9016"",""MBD6955084.1"")"
SIS domain-containing protein [Thermoplasmata archaeon],Thermoplasmata archaeon,305,305,99%,2e-103,80.23,177,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCI4434251.1?report=genbank&log$=prottop&blast_rank=2&RID=0VF2G3E9016"",""MCI4434251.1"")"
SIS domain-containing protein [Euryarchaeota archaeon],Euryarchaeota archaeon,304,304,99%,4e-103,79.66,177,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MVT14697.1?report=genbank&log$=prottop&blast_rank=3&RID=0VF2G3E9016"",""MVT14697.1"")"
SIS domain-containing protein [Euryarchaeota archaeon],Euryarchaeota archaeon,302,302,99%,2e-102,79.10,177,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MVT13216.1?report=genbank&log$=prottop&blast_rank=4&RID=0VF2G3E9016"",""MVT13216.1"")"
iron dicitrate transport regulator FecR [Euryarchaeota archaeon ex4484_178],Euryarchaeota archaeon ex4484_178,216,216,99%,2e-68,56.18,178,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OYT58635.1?report=genbank&log$=prottop&blast_rank=5&RID=0VF2G3E9016"",""OYT58635.1"")"
SIS domain-containing protein [Thermoplasmata archaeon],Thermoplasmata archaeon,212,212,99%,1e-66,55.62,178,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6276495.1?report=genbank&log$=prottop&blast_rank=6&RID=0VF2G3E9016"",""MCD6276495.1"")"
iron dicitrate transport regulator FecR [Euryarchaeota archaeon ex4484_178],Euryarchaeota archaeon ex4484_178,211,211,99%,1e-66,55.62,178,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OYT60286.1?report=genbank&log$=prottop&blast_rank=7&RID=0VF2G3E9016"",""OYT60286.1"")"
SIS domain-containing protein [Aciduliprofundum boonei],Aciduliprofundum boonei,204,204,99%,2e-63,54.75,178,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_008082593.1?report=genbank&log$=prottop&blast_rank=8&RID=0VF2G3E9016"",""WP_008082593.1"")"
SIS domain protein [Aciduliprofundum boonei T469],Aciduliprofundum boonei T469,202,202,99%,7e-63,54.75,178,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EDY36125.1?report=genbank&log$=prottop&blast_rank=9&RID=0VF2G3E9016"",""EDY36125.1"")"
SIS domain-containing protein [Thermoplasmata archaeon],Thermoplasmata archaeon,207,207,99%,6e-65,54.44,178,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6369983.1?report=genbank&log$=prottop&blast_rank=10&RID=0VF2G3E9016"",""MCD6369983.1"")"
