Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
redox-regulated ATPase YchF [Thermoplasmatales archaeon],Thermoplasmatales archaeon,803,803,99%,0.0,99.75,394,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD6955101.1?report=genbank&log$=prottop&blast_rank=1&RID=0VF2G3E9016"",""MBD6955101.1"")"
redox-regulated ATPase YchF [Aciduliprofundum sp.],Aciduliprofundum sp.,802,802,99%,0.0,99.49,394,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PMP73506.1?report=genbank&log$=prottop&blast_rank=2&RID=0VF2G3E9016"",""PMP73506.1"")"
redox-regulated ATPase YchF [Thermoplasmata archaeon],Thermoplasmata archaeon,704,704,100%,0.0,83.88,397,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCI4435010.1?report=genbank&log$=prottop&blast_rank=3&RID=0VF2G3E9016"",""MCI4435010.1"")"
redox-regulated ATPase YchF [Euryarchaeota archaeon],Euryarchaeota archaeon,701,701,99%,0.0,83.76,394,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MVT13233.1?report=genbank&log$=prottop&blast_rank=4&RID=0VF2G3E9016"",""MVT13233.1"")"
redox-regulated ATPase YchF [Euryarchaeota archaeon],Euryarchaeota archaeon,699,699,99%,0.0,83.76,394,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MVT14714.1?report=genbank&log$=prottop&blast_rank=5&RID=0VF2G3E9016"",""MVT14714.1"")"
redox-regulated ATPase YchF [Aciduliprofundum boonei],Aciduliprofundum boonei,509,509,98%,3e-177,62.63,400,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_008081978.1?report=genbank&log$=prottop&blast_rank=6&RID=0VF2G3E9016"",""WP_008081978.1"")"
"GTPase, putative [Aciduliprofundum boonei T469]",Aciduliprofundum boonei T469,509,509,98%,3e-177,62.63,400,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EDY36359.1?report=genbank&log$=prottop&blast_rank=7&RID=0VF2G3E9016"",""EDY36359.1"")"
"putative GTPase, probable translation factor [Aciduliprofundum sp. MAR08-339]",Aciduliprofundum sp. MAR08-339,506,506,98%,8e-176,62.12,400,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AGB04395.1?report=genbank&log$=prottop&blast_rank=8&RID=0VF2G3E9016"",""AGB04395.1"")"
redox-regulated ATPase YchF [Euryarchaeota archaeon ex4484_178],Euryarchaeota archaeon ex4484_178,504,504,98%,3e-175,61.87,400,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OYT60347.1?report=genbank&log$=prottop&blast_rank=9&RID=0VF2G3E9016"",""OYT60347.1"")"
redox-regulated ATPase YchF [Thermoplasmata archaeon],Thermoplasmata archaeon,502,502,98%,2e-174,61.62,400,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6275856.1?report=genbank&log$=prottop&blast_rank=10&RID=0VF2G3E9016"",""MCD6275856.1"")"
redox-regulated ATPase YchF [Thermoplasmata archaeon],Thermoplasmata archaeon,490,490,98%,1e-169,60.45,400,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6370279.1?report=genbank&log$=prottop&blast_rank=11&RID=0VF2G3E9016"",""MCD6370279.1"")"
TPA: redox-regulated ATPase YchF [Aciduliprofundum boonei],Aciduliprofundum boonei,488,488,98%,1e-168,60.20,400,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HHE75585.1?report=genbank&log$=prottop&blast_rank=12&RID=0VF2G3E9016"",""HHE75585.1"")"
redox-regulated ATPase YchF [Euryarchaeota archaeon],Euryarchaeota archaeon,484,484,98%,5e-167,59.09,400,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NPA74961.1?report=genbank&log$=prottop&blast_rank=13&RID=0VF2G3E9016"",""NPA74961.1"")"
redox-regulated ATPase YchF [Euryarchaeota archaeon RBG_16_62_10],Euryarchaeota archaeon RBG_16_62_10,466,466,98%,7e-160,57.61,404,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OGS42636.1?report=genbank&log$=prottop&blast_rank=14&RID=0VF2G3E9016"",""OGS42636.1"")"
redox-regulated ATPase YchF [Thermoplasmata archaeon],Thermoplasmata archaeon,464,464,98%,3e-159,57.51,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCE37422.1?report=genbank&log$=prottop&blast_rank=15&RID=0VF2G3E9016"",""UCE37422.1"")"
redox-regulated ATPase YchF [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,464,464,99%,2e-159,57.47,395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBN1678067.1?report=genbank&log$=prottop&blast_rank=16&RID=0VF2G3E9016"",""MBN1678067.1"")"
redox-regulated ATPase YchF [Thermoplasmata archaeon],Thermoplasmata archaeon,458,458,98%,7e-157,57.40,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCK4366479.1?report=genbank&log$=prottop&blast_rank=17&RID=0VF2G3E9016"",""MCK4366479.1"")"
redox-regulated ATPase YchF [Thermoplasmata archaeon],Thermoplasmata archaeon,462,462,98%,1e-158,56.89,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCF08402.1?report=genbank&log$=prottop&blast_rank=18&RID=0VF2G3E9016"",""UCF08402.1"")"
redox-regulated ATPase YchF [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,447,447,98%,8e-153,56.82,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCJ2669180.1?report=genbank&log$=prottop&blast_rank=19&RID=0VF2G3E9016"",""MCJ2669180.1"")"
