Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
hypothetical protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,558,558,100%,0.0,99.66,304,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD6955094.1?report=genbank&log$=prottop&blast_rank=1&RID=0VF2G3E9016"",""MBD6955094.1"")"
hypothetical protein C0180_06585 [Aciduliprofundum sp.],Aciduliprofundum sp.,556,556,100%,0.0,99.33,304,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PMP73498.1?report=genbank&log$=prottop&blast_rank=2&RID=0VF2G3E9016"",""PMP73498.1"")"
TPA: hypothetical protein [Euryarchaeota archaeon],Euryarchaeota archaeon,554,554,100%,0.0,98.99,304,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEU12837.1?report=genbank&log$=prottop&blast_rank=3&RID=0VF2G3E9016"",""HEU12837.1"")"
inorganic phosphate transporter [Thermoplasmata archaeon],Thermoplasmata archaeon,380,380,98%,2e-129,65.19,299,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCI4435018.1?report=genbank&log$=prottop&blast_rank=4&RID=0VF2G3E9016"",""MCI4435018.1"")"
hypothetical protein [Euryarchaeota archaeon],Euryarchaeota archaeon,380,380,98%,2e-129,65.19,299,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MVT13226.1?report=genbank&log$=prottop&blast_rank=5&RID=0VF2G3E9016"",""MVT13226.1"")"
hypothetical protein [Euryarchaeota archaeon],Euryarchaeota archaeon,379,379,98%,5e-129,64.85,299,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MVT14707.1?report=genbank&log$=prottop&blast_rank=6&RID=0VF2G3E9016"",""MVT14707.1"")"
inorganic phosphate transporter [Thermoplasmata archaeon],Thermoplasmata archaeon,100,100,37%,2e-22,46.49,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6370056.1?report=genbank&log$=prottop&blast_rank=7&RID=0VF2G3E9016"",""MCD6370056.1"")"
inorganic phosphate transporter [Aciduliprofundum boonei],Aciduliprofundum boonei,181,181,93%,6e-51,38.23,305,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_008085401.1?report=genbank&log$=prottop&blast_rank=8&RID=0VF2G3E9016"",""WP_008085401.1"")"
Phosphate transporter family [Aciduliprofundum boonei T469],Aciduliprofundum boonei T469,177,177,93%,2e-49,37.88,308,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EDY34517.1?report=genbank&log$=prottop&blast_rank=9&RID=0VF2G3E9016"",""EDY34517.1"")"
anion permease [Thermoplasmata archaeon],Thermoplasmata archaeon,167,167,96%,7e-46,37.58,308,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6275370.1?report=genbank&log$=prottop&blast_rank=10&RID=0VF2G3E9016"",""MCD6275370.1"")"
inorganic phosphate transporter [Euryarchaeota archaeon],Euryarchaeota archaeon,137,137,93%,2e-34,35.47,311,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NPA75853.1?report=genbank&log$=prottop&blast_rank=11&RID=0VF2G3E9016"",""NPA75853.1"")"
phosphate/sulfate permease [Aciduliprofundum sp. MAR08-339],Aciduliprofundum sp. MAR08-339,137,137,94%,3e-34,35.33,309,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AGB03941.1?report=genbank&log$=prottop&blast_rank=12&RID=0VF2G3E9016"",""AGB03941.1"")"
