Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
ArsA family ATPase [Thermoplasmatales archaeon],Thermoplasmatales archaeon,533,533,100%,0.0,100.00,263,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD6955081.1?report=genbank&log$=prottop&blast_rank=1&RID=0VF2G3E9016"",""MBD6955081.1"")"
hypothetical protein C0180_06790 [Aciduliprofundum sp.],Aciduliprofundum sp.,529,529,100%,0.0,99.24,263,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PMP73444.1?report=genbank&log$=prottop&blast_rank=2&RID=0VF2G3E9016"",""PMP73444.1"")"
AAA family ATPase [Euryarchaeota archaeon],Euryarchaeota archaeon,419,419,97%,5e-146,76.17,262,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MVT12873.1?report=genbank&log$=prottop&blast_rank=3&RID=0VF2G3E9016"",""MVT12873.1"")"
ArsA family ATPase [Thermoplasmata archaeon],Thermoplasmata archaeon,419,419,97%,5e-146,76.17,258,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCI4434254.1?report=genbank&log$=prottop&blast_rank=4&RID=0VF2G3E9016"",""MCI4434254.1"")"
hypothetical protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,165,165,58%,4e-47,50.64,161,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL4358775.1?report=genbank&log$=prottop&blast_rank=5&RID=0VF2G3E9016"",""MCL4358775.1"")"
hypothetical protein B2I17_04870 [Thermoplasmatales archaeon B_DKE],Thermoplasmatales archaeon B_DKE,234,234,93%,1e-72,48.62,273,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OWP56650.1?report=genbank&log$=prottop&blast_rank=6&RID=0VF2G3E9016"",""OWP56650.1"")"
Putative arsenical pump-driving ATPase [Thermoplasmatales archaeon],Thermoplasmatales archaeon,230,230,95%,4e-71,48.05,273,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QRF74578.1?report=genbank&log$=prottop&blast_rank=7&RID=0VF2G3E9016"",""QRF74578.1"")"
hypothetical protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,205,205,85%,3e-62,47.35,221,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL5990061.1?report=genbank&log$=prottop&blast_rank=8&RID=0VF2G3E9016"",""MCL5990061.1"")"
hypothetical protein DRJ33_04575 [Candidatus Verstraetearchaeota archaeon],Candidatus Verstraetearchaeota archaeon,175,175,69%,3e-49,47.21,300,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RLE52085.1?report=genbank&log$=prottop&blast_rank=9&RID=0VF2G3E9016"",""RLE52085.1"")"
hypothetical protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,226,226,96%,6e-70,46.72,256,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL4420617.1?report=genbank&log$=prottop&blast_rank=10&RID=0VF2G3E9016"",""MCL4420617.1"")"
ArsA family ATPase [Thermoplasma volcanium],Thermoplasma volcanium,243,243,98%,2e-76,45.00,258,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_010916283.1?report=genbank&log$=prottop&blast_rank=11&RID=0VF2G3E9016"",""WP_010916283.1"")"
hypothetical protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,225,225,95%,3e-69,44.92,267,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL5679438.1?report=genbank&log$=prottop&blast_rank=12&RID=0VF2G3E9016"",""MCL5679438.1"")"
hypothetical protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,219,219,95%,4e-67,44.75,267,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL5668392.1?report=genbank&log$=prottop&blast_rank=13&RID=0VF2G3E9016"",""MCL5668392.1"")"
hypothetical protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,224,224,93%,5e-69,44.40,272,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL4447818.1?report=genbank&log$=prottop&blast_rank=14&RID=0VF2G3E9016"",""MCL4447818.1"")"
hypothetical protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,224,224,93%,5e-69,44.40,270,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL6002751.1?report=genbank&log$=prottop&blast_rank=15&RID=0VF2G3E9016"",""MCL6002751.1"")"
hypothetical protein AMDU3_IPLC00001G0505 [Thermoplasmatales archaeon I-plasma],Thermoplasmatales archaeon I-plasma,219,219,93%,7e-67,44.40,269,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EQB66339.1?report=genbank&log$=prottop&blast_rank=16&RID=0VF2G3E9016"",""EQB66339.1"")"
TPA: ArsA family ATPase [Candidatus Korarchaeota archaeon],Candidatus Korarchaeota archaeon,168,168,69%,1e-47,44.39,216,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDD69343.1?report=genbank&log$=prottop&blast_rank=17&RID=0VF2G3E9016"",""HDD69343.1"")"
AAA family ATPase [Caldisphaeraceae archaeon],Caldisphaeraceae archaeon,223,223,93%,3e-68,44.31,268,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCE4607742.1?report=genbank&log$=prottop&blast_rank=18&RID=0VF2G3E9016"",""MCE4607742.1"")"
hypothetical protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,217,217,93%,3e-66,44.22,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL5731835.1?report=genbank&log$=prottop&blast_rank=19&RID=0VF2G3E9016"",""MCL5731835.1"")"
hypothetical protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,217,217,93%,2e-66,44.00,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL5732336.1?report=genbank&log$=prottop&blast_rank=20&RID=0VF2G3E9016"",""MCL5732336.1"")"
hypothetical protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,211,211,93%,5e-64,43.82,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL5732197.1?report=genbank&log$=prottop&blast_rank=21&RID=0VF2G3E9016"",""MCL5732197.1"")"
hypothetical protein IX51_00875 [uncultured archaeon],uncultured archaeon,216,216,96%,9e-66,43.63,274,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AKA47874.1?report=genbank&log$=prottop&blast_rank=22&RID=0VF2G3E9016"",""AKA47874.1"")"
hypothetical protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,219,219,93%,9e-67,43.60,269,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL4412758.1?report=genbank&log$=prottop&blast_rank=23&RID=0VF2G3E9016"",""MCL4412758.1"")"
Putative arsenical pump-driving ATPase [Candidatus Argoarchaeum ethanivorans],Candidatus Argoarchaeum ethanivorans,184,184,85%,1e-52,43.57,311,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAD7766792.1?report=genbank&log$=prottop&blast_rank=24&RID=0VF2G3E9016"",""CAD7766792.1"")"
