Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
amidohydrolase family protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,847,847,100%,0.0,99.76,414,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD6955087.1?report=genbank&log$=prottop&blast_rank=1&RID=0VF2G3E9016"",""MBD6955087.1"")"
amidohydrolase [Aciduliprofundum sp.],Aciduliprofundum sp.,847,847,100%,0.0,99.52,414,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PMP73441.1?report=genbank&log$=prottop&blast_rank=2&RID=0VF2G3E9016"",""PMP73441.1"")"
dihydroorotase [Thermoplasmata archaeon],Thermoplasmata archaeon,704,704,100%,0.0,78.74,414,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCI4434248.1?report=genbank&log$=prottop&blast_rank=3&RID=0VF2G3E9016"",""MCI4434248.1"")"
amidohydrolase family protein [Euryarchaeota archaeon],Euryarchaeota archaeon,703,703,100%,0.0,78.50,414,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MVT14700.1?report=genbank&log$=prottop&blast_rank=4&RID=0VF2G3E9016"",""MVT14700.1"")"
amidohydrolase family protein [Euryarchaeota archaeon],Euryarchaeota archaeon,701,701,100%,0.0,78.02,414,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MVT13219.1?report=genbank&log$=prottop&blast_rank=5&RID=0VF2G3E9016"",""MVT13219.1"")"
dihydroorotase [Thermoplasmata archaeon],Thermoplasmata archaeon,359,359,89%,2e-118,51.08,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6275414.1?report=genbank&log$=prottop&blast_rank=6&RID=0VF2G3E9016"",""MCD6275414.1"")"
"dihydroorotase, multifunctional complex type [Aciduliprofundum sp. MAR08-339]",Aciduliprofundum sp. MAR08-339,378,378,95%,3e-125,49.37,401,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AGB04928.1?report=genbank&log$=prottop&blast_rank=7&RID=0VF2G3E9016"",""AGB04928.1"")"
dihydroorotase [Aciduliprofundum boonei],Aciduliprofundum boonei,375,375,95%,6e-124,48.87,399,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_008084066.1?report=genbank&log$=prottop&blast_rank=8&RID=0VF2G3E9016"",""WP_008084066.1"")"
"Amidohydrolase family, putative [Aciduliprofundum boonei T469]",Aciduliprofundum boonei T469,371,371,95%,1e-122,48.62,399,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EDY36441.1?report=genbank&log$=prottop&blast_rank=9&RID=0VF2G3E9016"",""EDY36441.1"")"
hypothetical protein AMDU3_IPLC00004G0391 [Thermoplasmatales archaeon I-plasma],Thermoplasmatales archaeon I-plasma,355,355,95%,4e-116,47.09,405,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EQB64813.1?report=genbank&log$=prottop&blast_rank=10&RID=0VF2G3E9016"",""EQB64813.1"")"
