Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
DNA polymerase II [Thermoplasmatales archaeon],Thermoplasmatales archaeon,1595,1595,100%,0.0,99.87,782,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD6955095.1?report=genbank&log$=prottop&blast_rank=1&RID=0VF2G3E9016"",""MBD6955095.1"")"
DNA polymerase II [Aciduliprofundum sp.],Aciduliprofundum sp.,1592,1592,100%,0.0,99.62,782,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PMP73499.1?report=genbank&log$=prottop&blast_rank=2&RID=0VF2G3E9016"",""PMP73499.1"")"
DNA polymerase II [Thermoplasmata archaeon],Thermoplasmata archaeon,1446,1446,100%,0.0,90.55,783,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCI4435017.1?report=genbank&log$=prottop&blast_rank=3&RID=0VF2G3E9016"",""MCI4435017.1"")"
DNA polymerase family B [Aciduliprofundum boonei T469],Aciduliprofundum boonei T469,1040,1040,99%,0.0,64.32,779,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EDY36587.1?report=genbank&log$=prottop&blast_rank=4&RID=0VF2G3E9016"",""EDY36587.1"")"
DNA-directed DNA polymerase [Aciduliprofundum boonei T469],Aciduliprofundum boonei T469,1032,1032,99%,0.0,63.88,784,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ADD09124.1?report=genbank&log$=prottop&blast_rank=5&RID=0VF2G3E9016"",""ADD09124.1"")"
DNA polymerase II [Aciduliprofundum boonei],Aciduliprofundum boonei,1034,1034,99%,0.0,63.68,779,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_008083815.1?report=genbank&log$=prottop&blast_rank=6&RID=0VF2G3E9016"",""WP_008083815.1"")"
DNA polymerase II [Euryarchaeota archaeon ex4484_178],Euryarchaeota archaeon ex4484_178,1030,1030,99%,0.0,63.61,783,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OYT59421.1?report=genbank&log$=prottop&blast_rank=7&RID=0VF2G3E9016"",""OYT59421.1"")"
DNA polymerase II [Thermoplasmata archaeon],Thermoplasmata archaeon,1024,1024,98%,0.0,63.23,783,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6275770.1?report=genbank&log$=prottop&blast_rank=8&RID=0VF2G3E9016"",""MCD6275770.1"")"
DNA polymerase elongation subunit (family B) [Aciduliprofundum sp. MAR08-339],Aciduliprofundum sp. MAR08-339,1019,1019,99%,0.0,62.28,778,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AGB05131.1?report=genbank&log$=prottop&blast_rank=9&RID=0VF2G3E9016"",""AGB05131.1"")"
DNA polymerase II [Euryarchaeota archaeon],Euryarchaeota archaeon,983,983,99%,0.0,60.10,781,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NPA74671.1?report=genbank&log$=prottop&blast_rank=10&RID=0VF2G3E9016"",""NPA74671.1"")"
DNA polymerase family B [uncultured euryarchaeote Alv-FOS1],uncultured euryarchaeote Alv-FOS1,964,964,99%,0.0,59.08,781,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAZ32459.1?report=genbank&log$=prottop&blast_rank=11&RID=0VF2G3E9016"",""AAZ32459.1"")"
DNA polymerase II [Thermoplasmata archaeon],Thermoplasmata archaeon,894,894,99%,0.0,56.55,797,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCK5038974.1?report=genbank&log$=prottop&blast_rank=12&RID=0VF2G3E9016"",""MCK5038974.1"")"
DNA polymerase II [Methanomassiliicoccales archaeon],Methanomassiliicoccales archaeon,844,844,98%,0.0,56.35,798,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCE72845.1?report=genbank&log$=prottop&blast_rank=13&RID=0VF2G3E9016"",""UCE72845.1"")"
DNA polymerase II [Methanomassiliicoccales archaeon],Methanomassiliicoccales archaeon,890,890,97%,0.0,55.98,781,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBC7108181.1?report=genbank&log$=prottop&blast_rank=14&RID=0VF2G3E9016"",""MBC7108181.1"")"
DNA polymerase II [Methanomassiliicoccales archaeon],Methanomassiliicoccales archaeon,907,907,99%,0.0,55.90,805,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCQ5375806.1?report=genbank&log$=prottop&blast_rank=15&RID=0VF2G3E9016"",""MCQ5375806.1"")"
DNA polymerase II [Thermoplasmata archaeon],Thermoplasmata archaeon,890,890,99%,0.0,55.86,798,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCK4757662.1?report=genbank&log$=prottop&blast_rank=16&RID=0VF2G3E9016"",""MCK4757662.1"")"
DNA polymerase II [Thermoplasmata archaeon],Thermoplasmata archaeon,872,872,98%,0.0,55.71,789,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCK4948800.1?report=genbank&log$=prottop&blast_rank=17&RID=0VF2G3E9016"",""MCK4948800.1"")"
hypothetical protein AMDU3_IPLC00004G0080 [Thermoplasmatales archaeon I-plasma],Thermoplasmatales archaeon I-plasma,884,884,100%,0.0,55.68,772,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EQB64502.1?report=genbank&log$=prottop&blast_rank=18&RID=0VF2G3E9016"",""EQB64502.1"")"
DNA polymerase II [Methanomassiliicoccales archaeon],Methanomassiliicoccales archaeon,865,865,97%,0.0,55.66,795,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TET89358.1?report=genbank&log$=prottop&blast_rank=19&RID=0VF2G3E9016"",""TET89358.1"")"
