Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
LysE family translocator [Thermoplasmatales archaeon],Thermoplasmatales archaeon,360,360,100%,5e-125,98.94,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD6955103.1?report=genbank&log$=prottop&blast_rank=1&RID=0VF2G3E9016"",""MBD6955103.1"")"
lysine transporter LysE [Aciduliprofundum sp.],Aciduliprofundum sp.,251,251,73%,1e-82,95.65,138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PMP74867.1?report=genbank&log$=prottop&blast_rank=2&RID=0VF2G3E9016"",""PMP74867.1"")"
LysE family translocator [Thermoplasmata archaeon],Thermoplasmata archaeon,236,236,97%,7e-76,69.19,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCI4435008.1?report=genbank&log$=prottop&blast_rank=3&RID=0VF2G3E9016"",""MCI4435008.1"")"
LysE family translocator [Euryarchaeota archaeon],Euryarchaeota archaeon,238,238,98%,1e-76,68.98,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MVT13235.1?report=genbank&log$=prottop&blast_rank=4&RID=0VF2G3E9016"",""MVT13235.1"")"
LysE family transporter [Sulfuracidifex metallicus],Sulfuracidifex metallicus,186,186,92%,3e-56,57.71,187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_054838037.1?report=genbank&log$=prottop&blast_rank=5&RID=0VF2G3E9016"",""WP_054838037.1"")"
LysE family translocator [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,207,207,96%,1e-64,56.83,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL6003471.1?report=genbank&log$=prottop&blast_rank=6&RID=0VF2G3E9016"",""MCL6003471.1"")"
LysE family translocator [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,203,203,96%,8e-63,56.28,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL4446841.1?report=genbank&log$=prottop&blast_rank=7&RID=0VF2G3E9016"",""MCL4446841.1"")"
LysE family transporter [Sulfuracidifex tepidarius],Sulfuracidifex tepidarius,195,195,92%,9e-60,54.86,187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_054845015.1?report=genbank&log$=prottop&blast_rank=8&RID=0VF2G3E9016"",""WP_054845015.1"")"
LysE family transporter [Stygiolobus azoricus],Stygiolobus azoricus,139,139,70%,2e-38,54.48,153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_231112432.1?report=genbank&log$=prottop&blast_rank=9&RID=0VF2G3E9016"",""WP_231112432.1"")"
LysE family transporter [Acidiplasma aeolicum],Acidiplasma aeolicum,162,162,73%,2e-47,54.35,157,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_054964558.1?report=genbank&log$=prottop&blast_rank=10&RID=0VF2G3E9016"",""WP_054964558.1"")"
LysE family transporter [Saccharolobus caldissimus],Saccharolobus caldissimus,172,172,98%,9e-51,54.30,187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_229571544.1?report=genbank&log$=prottop&blast_rank=11&RID=0VF2G3E9016"",""WP_229571544.1"")"
