Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
DUF47 family protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,459,459,100%,1e-162,100.00,233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD6955093.1?report=genbank&log$=prottop&blast_rank=1&RID=0VF2G3E9016"",""MBD6955093.1"")"
DUF47 family protein [Euryarchaeota archaeon],Euryarchaeota archaeon,338,338,94%,3e-115,74.55,220,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MVT13225.1?report=genbank&log$=prottop&blast_rank=2&RID=0VF2G3E9016"",""MVT13225.1"")"
DUF47 family protein [Euryarchaeota archaeon],Euryarchaeota archaeon,335,335,94%,5e-114,74.09,220,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MVT14706.1?report=genbank&log$=prottop&blast_rank=3&RID=0VF2G3E9016"",""MVT14706.1"")"
DUF47 family protein [Thermoplasmata archaeon],Thermoplasmata archaeon,333,333,94%,3e-113,74.09,220,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCI4435019.1?report=genbank&log$=prottop&blast_rank=4&RID=0VF2G3E9016"",""MCI4435019.1"")"
phosphate transport regulator related to PhoU [Aciduliprofundum sp. MAR08-339],Aciduliprofundum sp. MAR08-339,130,130,68%,3e-33,46.34,220,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AGB03940.1?report=genbank&log$=prottop&blast_rank=5&RID=0VF2G3E9016"",""AGB03940.1"")"
DUF47 family protein [Euryarchaeota archaeon],Euryarchaeota archaeon,138,138,93%,2e-36,38.29,220,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NPA75852.1?report=genbank&log$=prottop&blast_rank=6&RID=0VF2G3E9016"",""NPA75852.1"")"
DUF47 family protein [Thermoplasmata archaeon],Thermoplasmata archaeon,117,117,91%,4e-28,35.05,218,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6370057.1?report=genbank&log$=prottop&blast_rank=7&RID=0VF2G3E9016"",""MCD6370057.1"")"
TIGR00153 family protein [Thermoplasmata archaeon],Thermoplasmata archaeon,119,119,93%,8e-29,34.82,218,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6275912.1?report=genbank&log$=prottop&blast_rank=8&RID=0VF2G3E9016"",""MCD6275912.1"")"
TIGR00153 family protein [Aciduliprofundum boonei],Aciduliprofundum boonei,113,113,93%,1e-26,33.94,218,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_008085421.1?report=genbank&log$=prottop&blast_rank=9&RID=0VF2G3E9016"",""WP_008085421.1"")"
TPA: DUF47 family protein [Aciduliprofundum boonei],Aciduliprofundum boonei,83.6,83.6,68%,5e-16,32.08,159,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HHE75507.1?report=genbank&log$=prottop&blast_rank=10&RID=0VF2G3E9016"",""HHE75507.1"")"
