Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
radical SAM protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,426,426,100%,2e-150,100.00,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD6955085.1?report=genbank&log$=prottop&blast_rank=1&RID=0VF2G3E9016"",""MBD6955085.1"")"
TPA: radical SAM protein [Euryarchaeota archaeon],Euryarchaeota archaeon,322,322,75%,4e-110,100.00,157,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEU12589.1?report=genbank&log$=prottop&blast_rank=2&RID=0VF2G3E9016"",""HEU12589.1"")"
radical SAM protein [Thermoplasmata archaeon],Thermoplasmata archaeon,385,385,100%,2e-134,86.60,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCI4434250.1?report=genbank&log$=prottop&blast_rank=3&RID=0VF2G3E9016"",""MCI4434250.1"")"
radical SAM protein [Euryarchaeota archaeon],Euryarchaeota archaeon,384,384,100%,9e-134,86.12,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MVT13217.1?report=genbank&log$=prottop&blast_rank=4&RID=0VF2G3E9016"",""MVT13217.1"")"
radical SAM protein [Thermoplasmata archaeon],Thermoplasmata archaeon,284,284,100%,4e-94,64.11,208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6275751.1?report=genbank&log$=prottop&blast_rank=5&RID=0VF2G3E9016"",""MCD6275751.1"")"
organic radical activating enzyme [Aciduliprofundum sp. MAR08-339],Aciduliprofundum sp. MAR08-339,289,289,100%,3e-96,63.16,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AGB04926.1?report=genbank&log$=prottop&blast_rank=6&RID=0VF2G3E9016"",""AGB04926.1"")"
"radical SAM domain protein, putative [Aciduliprofundum boonei T469]",Aciduliprofundum boonei T469,281,281,100%,5e-93,63.16,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EDY36454.1?report=genbank&log$=prottop&blast_rank=7&RID=0VF2G3E9016"",""EDY36454.1"")"
radical SAM protein [Aciduliprofundum boonei],Aciduliprofundum boonei,282,282,100%,1e-93,62.68,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_008084108.1?report=genbank&log$=prottop&blast_rank=8&RID=0VF2G3E9016"",""WP_008084108.1"")"
radical SAM protein [Thermoplasmata archaeon],Thermoplasmata archaeon,276,276,100%,3e-91,60.77,208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6275412.1?report=genbank&log$=prottop&blast_rank=9&RID=0VF2G3E9016"",""MCD6275412.1"")"
radical SAM protein [Euryarchaeota archaeon],Euryarchaeota archaeon,263,263,100%,6e-86,59.33,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NPA74997.1?report=genbank&log$=prottop&blast_rank=10&RID=0VF2G3E9016"",""NPA74997.1"")"
7-carboxy-7-deazaguanine synthase QueE [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,267,267,100%,2e-87,57.42,210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL4447022.1?report=genbank&log$=prottop&blast_rank=11&RID=0VF2G3E9016"",""MCL4447022.1"")"
radical SAM protein [Methanomassiliicoccales archaeon],Methanomassiliicoccales archaeon,256,256,100%,2e-83,57.14,210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBC7107805.1?report=genbank&log$=prottop&blast_rank=12&RID=0VF2G3E9016"",""MBC7107805.1"")"
radical SAM protein [Methanomassiliicoccales archaeon],Methanomassiliicoccales archaeon,253,253,100%,9e-82,56.67,210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCQ5376064.1?report=genbank&log$=prottop&blast_rank=13&RID=0VF2G3E9016"",""MCQ5376064.1"")"
radical SAM protein [Thermoplasmata archaeon],Thermoplasmata archaeon,250,250,98%,1e-80,56.59,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCJ7606239.1?report=genbank&log$=prottop&blast_rank=14&RID=0VF2G3E9016"",""MCJ7606239.1"")"
radical SAM protein [Thermoplasmata archaeon],Thermoplasmata archaeon,226,226,100%,1e-71,56.46,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCG70648.1?report=genbank&log$=prottop&blast_rank=15&RID=0VF2G3E9016"",""UCG70648.1"")"
radical SAM protein [Candidatus Thermoplasmatota archaeon],Candidatus Thermoplasmatota archaeon,255,255,100%,6e-83,55.98,210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL4450244.1?report=genbank&log$=prottop&blast_rank=16&RID=0VF2G3E9016"",""MCL4450244.1"")"
